Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kbase.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kbase.sys

    00000000 characteristics
    C70CD32F time date stamp
        0.00 version
           1 ordinal base
        2493 number of functions
        2493 number of names

    ordinal hint RVA      name

        157   92 0009DD20 ?LockExclusive@CInpLockGuard@@QEAAXXZ
        158   93 0002B2E0 ?LockExclusive@CInpPushLock@@QEAAXXZ
        159   94 000266E0 ?LockExclusive@tagObjLock@@QEAAXXZ
        160   95 0014E050 ?LockExclusiveWithoutGuard@CInpLockGuard@@QEAAXXZ
        161   96 000321F0 ?LockForRead@CompositionInputObject@@QEBAJPEAPEBVCInputSink@@@Z
        162   97 0007A8C0 ?LockForWrite@CompositionInputObject@@QEAAJPEAPEAVCInputSink@@@Z
        163   98 0006CCF0 ?LockInitialize@tagObjLock@@QEAAXXZ
        164   99 0014E070 ?LockShared@CInpLockGuard@@QEAAXXZ
        165   9A 00062DD0 ?LockShared@CInpPushLock@@QEAAXXZ
        166   9B 0006D5C0 ?LockShared@tagObjLock@@QEAAXXZ
        167   9C 00135600 ?MKButtonSelect@@YAHG@Z
        168   9D 000A3430 ?MKHideMouseCursor@@YAXXZ
        169   9E 00135630 ?MKShowMouseCursor@@YAXXZ
        170   9F 0006B5E0 ?Map@SURFACE@@QEAA?AW4SurfaceMapStatus@1@PEAXPEAVDC@@@Z
        171   A0 0014D130 ?MarkLastInputAsJournalling@CInputGlobals@@QEAAXXZ
        172   A1 00143290 ?MarkPointerMessageGenerated@CTouchProcessor@@QEAAXI_JHPEAX@Z
        173   A2 00135690 ?MouseKeys@@YAHPEAUtagKE@@KH@Z
        174   A3 001D15E8 ?MultiUserEngAllocListLock@@3PEAUHSEMAPHORE__@@EA
        175   A4 001D4A48 ?MultiUserGreEngAllocList@@3U_LIST_ENTRY@@A
        176   A5 001A94F0 ?NOT_ALERTABLE@OPM@@3EB
        177   A6 001433D0 ?NotifyCaptureChangedIfCaptured@CTouchProcessor@@QEAAPEAUtagINPUTDEST@@_KPEAU2@@Z
        178   A7 00143580 ?NotifyCaptureChangedIfCapturedDelegate@CTouchProcessor@@QEAAPEAUtagINPUTDEST@@_KPEAU2@PEAG@Z
        179   A8 00187110 ?NotifyDwmInputThreadShutdown@CInputManager@@SAXPEAU_ETHREAD@@@Z
        182   A9 00039690 ?OpenDwmHandle@CompositionObject@@QEBAJPEAPEAX@Z
        183   AA 000E8350 ?PopulateCustomDipatcherObjectsArray@IOCPDispatcher@@UEAAJIPEAPEAX@Z
        184   AB 0014DC10 ?PopulateCustomDipatcherObjectsArray@LegacyInputDispatcher@@UEAAJIPEAPEAX@Z
        185   AC 0014DCB0 ?PopulateDispatcherObjectWithCustomInputEvents@CBaseInput@@QEAAJAEAVCEventBitmap@@PEAVIRegisterInputDispatcherObjects@@@Z
        186   AD 00144AF0 ?PrepareMakePointerMessage@CTouchProcessor@@QEAAPEBUtagPOINTER_INFO@@_KPEAUtagPOINT@@PEAH22@Z
        188   AE 001512C0 ?ProcessPTPMouseInput@CHidInput@@QEAAHUtagMOUSEINPUT@@H@Z
        189   AF 00146200 ?PromotePointerDataToMouse@CTouchProcessor@@QEAAH_KK@Z
        190   B0 000A2DF0 ?PurgeInputDispatcherObjects@LegacyInputDispatcher@@QEAAXXZ
        191   B1 00090D90 ?Read@CBaseInput@@QEAAJXZ
        192   B2 00146590 ?ReferenceMsgDataExternal@CTouchProcessor@@QEAAX_KW4tagPOINTERMSGDATA_REFTYPE@@PEAX@Z
        193   B3 0004BFD0 ?RegisterDispatcherObject@CBaseInput@@QEAAJPEAVIRegisterInputDispatcherObjects@@@Z
        194   B4 0009CC20 ?RegisterInputDispatcherObjects@IOCPDispatcher@@UEAAJPEAXIPEAUInputDispatcherObject@@@Z
        195   B5 00043DE0 ?RegisterInputDispatcherObjects@LegacyInputDispatcher@@UEAAJPEAXIPEAUInputDispatcherObject@@@Z
        196   B6 000A33D0 ?RegisterThreadDispatcherObject@IOCPDispatcher@@QEAAXPEAX@Z
        197   B7 0008F4E0 ?Release@CompositionObject@@QEBA_JXZ
        198   B8 00093720 ?RemoveLSurf@SURFACE@@QEAAXPEAVSFMLOGICALSURFACE@@@Z
        199   B9 0007CF40 ?ResolveHandle@CompositionInputObject@@KAJPEAXKDPEAPEAU1@@Z
        200   BA 00023050 ?RestoreAttributes@DC@@QEAAXPEAU_DC_ATTR@@@Z
        201   BB 0006BB90 ?SURFOBJ_TO_SURFACE_NOT_NULL@@YAPEAVSURFACE@@PEAX@Z
        202   BC 0001A890 ?SaveAttributes@DC@@QEAAHPEAU_DC_ATTR@@@Z
        203   BD 00152200 ?SearchAndSetKbdTbl@@YAXPEAUDEVICEINFO@@KK@Z
        204   BE 000A2B30 ?SetAccessEnabledFlag@@YAXXZ
        205   BF 000FCF90 ?SetCachedDpiScaleValue@DC@@QEAAXJ@Z
        206   C0 0014C850 ?SetClip@CCursorClip@@QEAAXUtagRECT@@@Z
        207   C1 0014D170 ?SetDimmedState@CInputGlobals@@QEAAX_N@Z
        208   C2 0014D1C0 ?SetDisplayOnState@CInputGlobals@@QEAAX_N@Z
        209   C3 0014CFF0 ?SetForeground@CForegroundInfo@@QEAAXAEBVCInputDest@@@Z
        210   C4 0009D2E0 ?SetGlobalCursorLevel@@YAXH@Z
