Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

        255   F7 0053E258 ExRawInputManagerObjectType
        256   F8 00176D40 ExReInitializeRundownProtection
        257   F9 000F3A40 ExReInitializeRundownProtectionCacheAware
        258   FA 00176CC0 ExRealTimeIsUniversal
        259   FB 00315240 ExRegisterBootDevice
        260   FC 0016AD10 ExRegisterCallback
        261   FD 0071D890 ExRegisterExtension
        262   FE 00168300 ExReinitializeFastResource
        263   FF 001086F0 ExReinitializeResourceLite
        264  100 00113F70 ExReleaseAutoExpandPushLockExclusive
        265  101 001075A0 ExReleaseAutoExpandPushLockShared
        266  102 000C6F80 ExReleaseCacheAwarePushLockExclusive
        267  103 00316010 ExReleaseCacheAwarePushLockExclusiveEx
        268  104 00032750 ExReleaseCacheAwarePushLockSharedEx
        269  105 00163260 ExReleaseDisownedFastResource
        270  106 00316470 ExReleaseDisownedFastResourceExclusive
        271  107 00316580 ExReleaseDisownedFastResourceShared
        272  108 00035110 ExReleaseFastMutex
        273  109 000D6D90 ExReleaseFastMutexUnsafe
        274  10A 0010C890 ExReleaseFastMutexUnsafeAndLeaveCriticalRegion
        275  10B 001635A0 ExReleaseFastResource
        276  10C 003166A0 ExReleaseFastResourceExclusive
        277  10D 003167D0 ExReleaseFastResourceShared
        278  10E 00033030 ExReleasePushLockEx
        279  10F 000328D0 ExReleasePushLockExclusiveEx
        280  110 00035030 ExReleasePushLockSharedEx
        281  111 00033320 ExReleaseResourceAndLeaveCriticalRegion
        282  112 00316D80 ExReleaseResourceAndLeavePriorityRegion
        283  113 0010DB50 ExReleaseResourceForThreadLite
        284  114 00033460 ExReleaseResourceLite
        285  115 001094C0 ExReleaseRundownProtection
        286  116 0010A000 ExReleaseRundownProtectionCacheAware
        287  117 000F3380 ExReleaseRundownProtectionCacheAwareEx
        288  118 00317250 ExReleaseRundownProtectionEx
        289  119 0003AC90 ExReleaseSpinLockExclusive
        290  11A 0003AD20 ExReleaseSpinLockExclusiveFromDpcLevel
        291  11B 000FFD10 ExReleaseSpinLockShared
        292  11C 0001ADB0 ExReleaseSpinLockSharedFromDpcLevel
        293  11D 00137C90 ExRundownCompleted
        294  11E 000F3A90 ExRundownCompletedCacheAware
        295  11F 0053E238 ExSemaphoreObjectType
        296  120 008CE140 ExSetFirmwareEnvironmentVariable
        297  121 008CD130 ExSetLicenseTamperState
        298  122 00164F40 ExSetResourceOwnerPointer
        299  123 00108880 ExSetResourceOwnerPointerEx
        300  124 000EF960 ExSetTimer
        301  125 00314A60 ExSetTimerResolution
        302  126 00318610 ExShareAddressSpaceWithDevice
        303  127 001B0B10 ExSizeOfAutoExpandPushLock
        304  128 00702AC0 ExSizeOfRundownProtectionCacheAware
        305  129 005EE480 ExSubscribeWnfStateChange
        306  12A 00318BF0 ExSvmBeginDeviceReset
        307  12B 00318D30 ExSvmFinalizeDeviceReset
        308  12C 006D5870 ExSystemExceptionFilter
        309  12D 001349E0 ExSystemTimeToLocalTime
        310  12E 0010E280 ExTimedWaitForUnblockPushLock
        311  12F 0053F520 ExTimerObjectType
        312  130 001683A0 ExTryAcquireAutoExpandPushLockExclusive
        313  131 00164E10 ExTryAcquireAutoExpandPushLockShared
        314  132 003160B0 ExTryAcquireCacheAwarePushLockExclusiveEx
        315  133 00316180 ExTryAcquireCacheAwarePushLockSharedEx
        316  134 000CC800 ExTryAcquirePushLockExclusiveEx
        317  135 001066C0 ExTryAcquirePushLockSharedEx
        318  136 000AED20 ExTryAcquireSpinLockExclusiveAtDpcLevel
        319  137 003172D0 ExTryAcquireSpinLockSharedAtDpcLevel
        320  138 001226C0 ExTryConvertPushLockSharedToExclusiveEx
        321  139 000B0610 ExTryConvertSharedSpinLockExclusive
        322  13A 00096420 ExTryQueueWorkItem
        323  13B 000CD0E0 ExTryToAcquireFastMutex
        324  13C 00316E00 ExTryToAcquireResourceExclusiveLite
        325  13D 00316910 ExTryToConvertFastResourceSharedToExclusive
        326  13E 00316240 ExUnblockOnAddressPushLockEx
        327  13F 00316240 ExUnblockPushLockEx
        328  140 0016B570 ExUnregisterCallback
        329  141 008D53D0 ExUnregisterExtension
        330  142 006824C0 ExUnsubscribeWnfStateChange
        331  143 008CD300 ExUpdateLicenseData
        332  144 006BB580 ExUuidCreate
        333  145 0017E480 ExVerifySuite
        334  146 00020FF0 ExWaitForRundownProtectionRelease
        335  147 000F3990 ExWaitForRundownProtectionReleaseCacheAware
        336  148 00316290 ExWaitForUnblockPushLock
        337  149 0053E240 ExWindowStationObjectType
        338  14A 000CBEF0 ExfAcquirePushLockExclusive
        339  14B 000CBCE0 ExfAcquirePushLockShared
        340  14C 000195C0 ExfReleasePushLock
        341  14D 000196B0 ExfReleasePushLockExclusive
        342  14E 000195F0 ExfReleasePushLockShared
        343  14F 00019700 ExfTryAcquirePushLockShared
        344  150 000C6FF0 ExfTryToWakePushLock
        345  151 001B3BC0 ExfUnblockPushLock
        346  152 001C0030 ExpInterlockedFlushSList
        347  153 001BFFB0 ExpInterlockedPopEntrySList
        348  154 001BFFF0 ExpInterlockedPushEntrySList
        349  155 001BFFA0 FirstEntrySList
        350  156 00686C40 FsRtlAcknowledgeEcp
        351  157 000FBD00 FsRtlAcquireEofLock
        352  158 005CD380 FsRtlAcquireFileExclusive
        353  159 00031F80 FsRtlAcquireHeaderMutex
        354  15A 0010D310 FsRtlAddBaseMcbEntry
        355  15B 0010D330 FsRtlAddBaseMcbEntryEx
        356  15C 0010CD10 FsRtlAddLargeMcbEntry
        357  15D 00269E90 FsRtlAddMcbEntry
        358  15E 00617790 FsRtlAddToTunnelCache
        359  15F 0057EB80 FsRtlAddToTunnelCacheEx
        360  160 0059EB20 FsRtlAllocateExtraCreateParameter
        361  161 00620F50 FsRtlAllocateExtraCreateParameterFromLookasideList
        362  162 0062D8C0 FsRtlAllocateExtraCreateParameterList
        363  163 00132EA0 FsRtlAllocateFileLock
        364  164 0026ACC0 FsRtlAllocatePool
        365  165 0026ACF0 FsRtlAllocatePoolWithQuota
        366  166 0026AD20 FsRtlAllocatePoolWithQuotaTag
        367  167 0026AD50 FsRtlAllocatePoolWithTag
        368  168 00812770 FsRtlAllocateResource
        369  169 00109640 FsRtlAreNamesEqual
        370  16A 0026A560 FsRtlAreThereCurrentOrInProgressFileLocks
        371  16B 0013E2D0 FsRtlAreThereWaitingFileLocks
